Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-29,Elf,2003,https://boxd.it/3aTwM1,2.5,,,2022-08-28
2022-08-29,School of Rock,2003,https://boxd.it/3aTwOh,4,,,2022-08-28
2022-08-29,Finding Nemo,2003,https://boxd.it/3aTwR1,3,,,2022-08-28
2022-08-29,Old School,2003,https://boxd.it/3aTwU5,2.5,,,2022-08-28
2022-08-29,Catch Me If You Can,2002,https://boxd.it/3aTwVx,5,,,2022-08-28
2022-08-29,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/3aTwYB,4,,,2022-08-28
2022-08-29,Austin Powers in Goldmember,2002,https://boxd.it/3aTx03,2.5,,,2022-08-28
2022-08-29,Punch-Drunk Love,2002,https://boxd.it/3aTx2j,3.5,,,2022-08-28
2022-08-29,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/3aTx4p,2.5,,,2022-08-28
2022-08-29,Spider-Man,2002,https://boxd.it/3aTx5R,3.5,,,2022-08-28
2022-08-29,National Lampoon's Van Wilder,2002,https://boxd.it/3aTx7N,3,,,2022-08-28
2022-08-29,Not Another Teen Movie,2001,https://boxd.it/3aTxan,3.5,,,2022-08-28
2022-08-29,Ocean's Eleven,2001,https://boxd.it/3aTxkH,3,,,2022-08-28
2022-08-29,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/3aTxq1,4,,,2022-08-28
2022-08-29,"Monsters, Inc.",2001,https://boxd.it/3aTxsh,3.5,,,2022-08-28
2022-08-29,Legally Blonde,2001,https://boxd.it/3aTxwj,3,,,2022-08-28
2022-08-29,Shrek,2001,https://boxd.it/3aTxxV,3.5,,,2022-08-28
2022-08-29,Spy Kids,2001,https://boxd.it/3aTxA1,3.5,,,2022-08-28
2022-08-29,Memento,2000,https://boxd.it/3aTxCB,4,,,2022-08-28
2022-08-29,American Psycho,2000,https://boxd.it/3aTxFb,2.5,,,2022-08-28
2022-08-29,Fight Club,1999,https://boxd.it/3aTxJn,4,,,2022-08-28
2022-08-29,American Pie,1999,https://boxd.it/3aTxLX,4,,,2022-08-28
2022-08-29,Austin Powers: The Spy Who Shagged Me,1999,https://boxd.it/3aTxOd,3,,,2022-08-28
2022-08-29,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/3aTxQN,2,,,2022-08-28
2022-08-29,The Matrix,1999,https://boxd.it/3aTxVj,2,,,2022-08-28
2022-08-29,The Truman Show,1998,https://boxd.it/3aTxZl,4,,,2022-08-28
2022-08-29,Good Will Hunting,1997,https://boxd.it/3aTy1V,5,Yes,,2022-08-28
2022-08-29,Men in Black,1997,https://boxd.it/3aTy4F,2.5,,,2022-08-28
2022-08-29,Happy Gilmore,1996,https://boxd.it/3aTy6V,3.5,,,2022-08-28
2022-08-29,Se7en,1995,https://boxd.it/3aTy9l,3.5,,,2022-08-28
2022-08-29,Clueless,1995,https://boxd.it/3aTyb7,2.5,,,2022-08-28
2022-08-29,The Shawshank Redemption,1994,https://boxd.it/3aTydd,4.5,,,2022-08-28
2022-08-29,Forrest Gump,1994,https://boxd.it/3aTyg7,3,,,2022-08-28
2022-08-29,Pulp Fiction,1994,https://boxd.it/3aTyjv,4,,,2022-08-28
2022-08-29,The Lion King,1994,https://boxd.it/3aTylh,4,,,2022-08-28
2022-08-29,Schindler's List,1993,https://boxd.it/3aTynR,4,,,2022-08-28
2022-08-29,Aladdin,1992,https://boxd.it/3aTypj,2.5,,,2022-08-28
2022-08-29,Wayne's World,1992,https://boxd.it/3aTyrz,3.5,,,2022-08-28
2022-08-29,Beauty and the Beast,1991,https://boxd.it/3aTytP,3.5,,,2022-08-28
2022-08-29,Home Alone,1990,https://boxd.it/3aTywz,4,,,2022-08-28
2022-08-29,Back to the Future Part II,1989,https://boxd.it/3aTyz9,2.5,,,2022-08-28
2022-08-29,Rain Man,1988,https://boxd.it/3aTyAV,4,,,2022-08-28
2022-08-29,Ferris Bueller's Day Off,1986,https://boxd.it/3aTyCn,4.5,,,2022-08-28
2022-08-29,Top Gun,1986,https://boxd.it/3aTyEN,3,,,2022-08-28
2022-08-29,Back to the Future,1985,https://boxd.it/3aTyH3,3.5,,,2022-08-28
2022-08-29,The Breakfast Club,1985,https://boxd.it/3aTyIP,2,,,2022-08-28
2022-08-29,The Karate Kid,1984,https://boxd.it/3aTyKV,4.5,,,2022-08-28
2022-08-29,Ghostbusters,1984,https://boxd.it/3aTyN1,2.5,,,2022-08-28
2022-08-29,Return of the Jedi,1983,https://boxd.it/3aTyP7,4,,,2022-08-28
2022-08-29,E.T. the Extra-Terrestrial,1982,https://boxd.it/3aTyR3,3,,,2022-08-28
2022-08-29,The Shining,1980,https://boxd.it/3aTyUB,3.5,,,2022-08-28
2022-08-29,The Empire Strikes Back,1980,https://boxd.it/3aTyVz,3.5,,,2022-08-28
2022-08-29,Star Wars,1977,https://boxd.it/3aTyWH,3.5,,,2022-08-28
2022-09-06,American Beauty,1999,https://boxd.it/3cvs2X,3.5,,,2022-09-05
2022-09-12,"I Love You, Man",2009,https://boxd.it/3dyzsj,3,,,2022-09-11
2022-09-12,Friends with Benefits,2011,https://boxd.it/3dyzEz,2.5,,,2022-09-11
2022-09-12,Bad Teacher,2011,https://boxd.it/3dyzPd,2.5,,,2022-09-11
2022-09-18,This Is 40,2012,https://boxd.it/3eAIGn,3,Yes,,2022-09-17
